x,y,Celltype,Celltype_asNumeric
7928.0,27682.0,T Helper Cell,9
8007.0,27626.0,T Helper Cell,9
7705.0,27525.0,Cytotoxic T Cell,2
7514.0,27578.0,Cytotoxic T Cell,2
7937.0,27585.0,Cytotoxic T Cell,2
7808.0,27701.0,Cytotoxic T Cell,2
7582.0,27767.0,Cytotoxic T Cell,2
7603.0,27781.0,Cytotoxic T Cell,2
8045.0,27505.0,Cytotoxic T Cell,2
8412.0,27603.0,Cytotoxic T Cell,2
8415.0,27620.0,Cytotoxic T Cell,2
8040.0,27738.0,Cytotoxic T Cell,2
7833.0,27990.0,Cytotoxic T Cell,2
7899.0,27996.0,Cytotoxic T Cell,2
7788.0,28013.0,Cytotoxic T Cell,2
7958.0,28063.0,Cytotoxic T Cell,2
7677.0,28134.0,Cytotoxic T Cell,2
8207.0,27922.0,Cytotoxic T Cell,2
8069.0,28162.0,Cytotoxic T Cell,2
8436.0,28343.0,Cytotoxic T Cell,2
8170.0,28357.0,Cytotoxic T Cell,2
8333.0,28463.0,Cytotoxic T Cell,2
7791.0,27798.0,Cytotoxic T Cell,2
7693.0,27822.0,Cytotoxic T Cell,2
7686.0,27842.0,Cytotoxic T Cell,2
8329.0,27512.0,Cytotoxic T Cell,2
7590.0,27926.0,Cytotoxic T Cell,2
7546.0,27929.0,Cytotoxic T Cell,2
8129.0,28014.0,Cytotoxic T Cell,2
7988.0,28050.0,Macrophage,5
8488.0,28319.0,Macrophage,5
7908.0,27683.0,Macrophage,5
7880.0,27699.0,Macrophage,5
8154.0,27506.0,Macrophage,5
8022.0,27604.0,Macrophage,5
7726.0,27852.0,Macrophage,5
7553.0,27883.0,Macrophage,5
7595.0,27923.0,Macrophage,5
8129.0,28014.0,Macrophage,5
8035.0,28275.0,Macrophage,5
7963.0,27510.0,Neutrophil,6
7592.0,27530.0,Neutrophil,6
7956.0,27536.0,Neutrophil,6
7919.0,27576.0,Neutrophil,6
7864.0,27629.0,Neutrophil,6
7884.0,27639.0,Neutrophil,6
7776.0,27674.0,Neutrophil,6
7792.0,27670.0,Neutrophil,6
7762.0,27708.0,Neutrophil,6
7701.0,27714.0,Neutrophil,6
7586.0,27728.0,Neutrophil,6
7598.0,27752.0,Neutrophil,6
7949.0,27796.0,Neutrophil,6
7879.0,27804.0,Neutrophil,6
8269.0,27515.0,Neutrophil,6
8284.0,27545.0,Neutrophil,6
8289.0,27590.0,Neutrophil,6
8126.0,27603.0,Neutrophil,6
8117.0,27614.0,Neutrophil,6
8173.0,27616.0,Neutrophil,6
8191.0,27645.0,Neutrophil,6
8143.0,27645.0,Neutrophil,6
8129.0,27649.0,Neutrophil,6
8421.0,27654.0,Neutrophil,6
8109.0,27675.0,Neutrophil,6
8040.0,27688.0,Neutrophil,6
8073.0,27700.0,Neutrophil,6
8026.0,27708.0,Neutrophil,6
8006.0,27789.0,Neutrophil,6
8020.0,27802.0,Neutrophil,6
8103.0,27838.0,Neutrophil,6
8363.0,27839.0,Neutrophil,6
8092.0,27848.0,Neutrophil,6
7650.0,27945.0,Neutrophil,6
7872.0,27959.0,Neutrophil,6
7551.0,27971.0,Neutrophil,6
7603.0,27975.0,Neutrophil,6
7855.0,27978.0,Neutrophil,6
7880.0,27992.0,Neutrophil,6
7860.0,28004.0,Neutrophil,6
7882.0,28007.0,Neutrophil,6
7555.0,28044.0,Neutrophil,6
7798.0,28055.0,Neutrophil,6
7750.0,28055.0,Neutrophil,6
7786.0,28060.0,Neutrophil,6
7925.0,28070.0,Neutrophil,6
7918.0,28073.0,Neutrophil,6
7732.0,28078.0,Neutrophil,6
7757.0,28090.0,Neutrophil,6
7622.0,28162.0,Neutrophil,6
7976.0,28397.0,Neutrophil,6
7983.0,28417.0,Neutrophil,6
7974.0,28431.0,Neutrophil,6
7967.0,28441.0,Neutrophil,6
7988.0,28447.0,Neutrophil,6
7748.0,28457.0,Neutrophil,6
7981.0,28488.0,Neutrophil,6
8032.0,27865.0,Neutrophil,6
8425.0,27895.0,Neutrophil,6
8033.0,27907.0,Neutrophil,6
8429.0,27913.0,Neutrophil,6
8136.0,27946.0,Neutrophil,6
8150.0,27977.0,Neutrophil,6
8237.0,27989.0,Neutrophil,6
8002.0,28001.0,Neutrophil,6
8487.0,28029.0,Neutrophil,6
8452.0,28129.0,Neutrophil,6
8400.0,28147.0,Neutrophil,6
8407.0,28156.0,Neutrophil,6
8319.0,28198.0,Neutrophil,6
8321.0,28213.0,Neutrophil,6
8066.0,28349.0,Neutrophil,6
