x,y,Celltype,Celltype_asNumeric
14713.0,13666.0,T Helper Cell,10
14821.0,13685.0,T Helper Cell,10
15071.0,13738.0,T Helper Cell,10
15124.0,13752.0,T Helper Cell,10
14979.0,13747.0,T Helper Cell,10
14998.0,13796.0,T Helper Cell,10
15000.0,13811.0,T Helper Cell,10
14989.0,13825.0,T Helper Cell,10
15189.0,14169.0,T Helper Cell,10
15328.0,13948.0,T Helper Cell,10
14866.0,14232.0,T Helper Cell,10
14776.0,14321.0,T Helper Cell,10
14785.0,14331.0,T Helper Cell,10
15254.0,14450.0,T Helper Cell,10
15390.0,14215.0,T Helper Cell,10
15402.0,14290.0,T Helper Cell,10
15390.0,14296.0,T Helper Cell,10
15363.0,14339.0,T Helper Cell,10
15455.0,14462.0,T Helper Cell,10
14959.0,13573.0,Treg Cell,11
14736.0,13862.0,Treg Cell,11
15482.0,13977.0,Treg Cell,11
15465.0,13985.0,Treg Cell,11
14745.0,14466.0,Treg Cell,11
14827.0,13664.0,Cytotoxic T Cell,2
14833.0,13676.0,Cytotoxic T Cell,2
14626.0,13779.0,Cytotoxic T Cell,2
14609.0,13825.0,Cytotoxic T Cell,2
14907.0,13867.0,Cytotoxic T Cell,2
14905.0,13885.0,Cytotoxic T Cell,2
14911.0,13925.0,Cytotoxic T Cell,2
14835.0,13988.0,Cytotoxic T Cell,2
14972.0,14110.0,Cytotoxic T Cell,2
14846.0,14136.0,Cytotoxic T Cell,2
14880.0,14172.0,Cytotoxic T Cell,2
15384.0,13845.0,Cytotoxic T Cell,2
15496.0,13870.0,Cytotoxic T Cell,2
15484.0,13882.0,Cytotoxic T Cell,2
15480.0,14095.0,Cytotoxic T Cell,2
15437.0,14159.0,Cytotoxic T Cell,2
15303.0,14183.0,Cytotoxic T Cell,2
14667.0,14214.0,Cytotoxic T Cell,2
14673.0,14230.0,Cytotoxic T Cell,2
15269.0,14228.0,Cytotoxic T Cell,2
14583.0,14263.0,Cytotoxic T Cell,2
14741.0,14266.0,Cytotoxic T Cell,2
14906.0,14311.0,Cytotoxic T Cell,2
15254.0,14327.0,Cytotoxic T Cell,2
14873.0,14331.0,Cytotoxic T Cell,2
